lambda,dipolpol
0.987699981,4.499726945
0.988649981,4.499766789
0.989599981,4.499803602
0.990549981,4.499837356
0.991499981,4.499868019
0.992449981,4.499895562
0.993399981,4.499919954
0.994349981,4.499941166
0.995299981,4.499959168
0.996249981,4.49997393
0.997199981,4.499985424
0.998149981,4.499993618
0.999099981,4.499998485
1.000049981,4.499999995
1.000999981,4.499998119
1.001949981,4.499992829
1.002899981,4.499984095
1.003849981,4.499971889
1.004799981,4.499956182
1.005749981,4.499936946
1.006699981,4.499914153
1.007649981,4.499887775
1.008599981,4.499857784
1.009549981,4.499824152
1.010499981,4.499786851
1.011449981,4.499745854
1.012399981,4.499701134
1.013349981,4.499652663
1.014299981,4.499600413
1.015249981,4.499544359
1.016199981,4.499484473
1.017149981,4.499420729
1.018099981,4.499353099
1.019049981,4.499281558
1.019999981,4.49920608
1.020949981,4.499126637
1.021899981,4.499043205
1.022849981,4.498955756
1.023799981,4.498864267
1.024749981,4.49876871
1.025699981,4.498669061
1.026649981,4.498565294
1.027599981,4.498457385
1.028549981,4.498345308
1.029499981,4.498229038
1.030449981,4.498108551
1.031399981,4.497983822
1.032349981,4.497854826
1.033299981,4.497721541
1.034249981,4.497583941
1.035199981,4.497442002
1.036149981,4.497295701
1.037099981,4.497145015
1.038049981,4.496989919
1.038999981,4.49683039
1.039949981,4.496666406
1.040899981,4.496497943
1.041849981,4.496324978
1.042799981,4.496147488
1.043749981,4.495965452
1.044699981,4.495778846
1.045649981,4.495587648
1.046599981,4.495391837
1.047549981,4.49519139
1.048499981,4.494986286
1.049449981,4.494776502
1.050399981,4.494562018
1.051349981,4.494342812
1.052299981,4.494118862
1.053249981,4.493890149
1.05419998,4.493656651
1.05514998,4.493418347
1.05609998,4.493175216
1.05704998,4.492927239
1.05799998,4.492674396
1.05894998,4.492416665
1.05989998,4.492154027
1.06084998,4.491886463
1.06179998,4.491613953
1.06274998,4.491336477
1.06369998,4.491054016
1.06464998,4.490766551
1.06559998,4.490474063
1.06654998,4.490176533
1.06749998,4.489873942
1.06844998,4.489566273
1.06939998,4.489253506
1.07034998,4.488935624
1.07129998,4.488612608
1.07224998,4.48828444
1.07319998,4.487951104
1.07414998,4.487612581
1.07509998,4.487268854
1.07604998,4.486919905
1.07699998,4.486565718
1.07794998,4.486206276
1.07889998,4.485841562
1.07984998,4.485471559
1.08079998,4.485096251
1.08174998,4.484715621
1.08269998,4.484329654
1.08364998,4.483938334
1.08459998,4.483541644
1.08554998,4.48313957
1.08649998,4.482732095
1.08744998,4.482319204
1.08839998,4.481900882
1.08934998,4.481477114
1.09029998,4.481047885
1.09124998,4.480613181
1.09219998,4.480172986
1.09314998,4.479727287
1.09409998,4.47927607
1.09504998,4.478819319
1.09599998,4.478357022
1.09694998,4.477889164
1.09789998,4.477415732
1.09884998,4.476936712
1.09979998,4.476452092
1.10074998,4.475961857
1.10169998,4.475465995
1.10264998,4.474964494
1.10359998,4.474457339
1.10454998,4.47394452
1.10549998,4.473426023
1.10644998,4.472901837
1.10739998,4.472371948
1.10834998,4.471836346
1.10929998,4.471295019
1.11024998,4.470747955
1.11119998,4.470195142
1.11214998,4.469636569
1.11309998,4.469072225
1.11404998,4.4685021
1.11499998,4.467926181
1.11594998,4.467344459
1.11689998,4.466756923
1.11784998,4.466163563
1.11879998,4.465564368
1.11974998,4.464959329
1.12069998,4.464348434
1.12164998,4.463731676
1.12259998,4.463109043
1.12354998,4.462480527
1.12449998,4.461846117
1.12544998,4.461205806
1.12639998,4.460559584
1.12734998,4.459907441
1.12829998,4.45924937
1.12924998,4.458585361
1.13019998,4.457915407
1.13114998,4.457239498
1.13209998,4.456557628
1.13304998,4.455869787
1.133999979,4.455175967
1.134949979,4.454476162
1.135899979,4.453770364
1.136849979,4.453058564
1.137799979,4.452340757
1.138749979,4.451616934
1.139699979,4.450887089
1.140649979,4.450151215
1.141599979,4.449409305
1.142549979,4.448661352
1.143499979,4.447907351
1.144449979,4.447147294
1.145399979,4.446381176
1.146349979,4.445608991
1.147299979,4.444830733
1.148249979,4.444046396
1.149199979,4.443255974
1.150149979,4.442459462
1.151099979,4.441656856
1.152049979,4.440848149
1.152999979,4.440033336
1.153949979,4.439212413
1.154899979,4.438385375
1.155849979,4.437552218
1.156799979,4.436712936
1.157749979,4.435867526
1.158699979,4.435015983
1.159649979,4.434158303
1.160599979,4.433294482
1.161549979,4.432424517
1.162499979,4.431548404
1.163449979,4.430666139
1.164399979,4.429777719
1.165349979,4.42888314
1.166299979,4.4279824
1.167249979,4.427075495
1.168199979,4.426162423
1.169149979,4.42524318
1.170099979,4.424317765
1.171049979,4.423386174
1.171999979,4.422448406
1.172949979,4.421504457
1.173899979,4.420554327
1.174849979,4.419598012
1.175799979,4.418635512
1.176749979,4.417666824
1.177699979,4.416691946
1.178649979,4.415710878
1.179599979,4.414723618
1.180549979,4.413730165
1.181499979,4.412730517
1.182449979,4.411724674
1.183399979,4.410712635
1.184349979,4.409694399
1.185299979,4.408669965
1.186249979,4.407639334
1.187199979,4.406602504
1.188149979,4.405559475
1.189099979,4.404510248
1.190049979,4.403454821
1.190999979,4.402393197
1.191949979,4.401325373
1.192899979,4.400251352
1.193849979,4.399171133
1.194799979,4.398084717
1.195749979,4.396992105
1.196699979,4.395893297
1.197649979,4.394788295
1.198599979,4.393677099
1.199549979,4.392559711
1.200499979,4.391436132
1.201449979,4.390306363
1.202399979,4.389170406
1.203349979,4.388028263
1.204299979,4.386879934
1.205249979,4.385725423
1.206199979,4.384564731
1.207149979,4.38339786
1.208099979,4.382224812
1.209049979,4.381045589
1.209999979,4.379860195
1.210949979,4.37866863
1.211899979,4.377470899
1.212849979,4.376267004
1.213799978,4.375056947
1.214749978,4.373840732
1.215699978,4.372618361
1.216649978,4.371389838
1.217599978,4.370155166
1.218549978,4.368914348
1.219499978,4.367667387
1.220449978,4.366414288
1.221399978,4.365155054
1.222349978,4.363889689
1.223299978,4.362618196
1.224249978,4.36134058
1.225199978,4.360056844
1.226149978,4.358766993
1.227099978,4.357471031
1.228049978,4.356168963
1.228999978,4.354860792
1.229949978,4.353546524
1.230899978,4.352226163
1.231849978,4.350899714
1.232799978,4.349567181
1.233749978,4.34822857
1.234699978,4.346883886
1.235649978,4.345533134
1.236599978,4.344176318
1.237549978,4.342813445
1.238499978,4.34144452
1.239449978,4.340069548
1.240399978,4.338688535
1.241349978,4.337301487
1.242299978,4.335908409
1.243249978,4.334509307
1.244199978,4.333104188
1.245149978,4.331693057
1.246099978,4.33027592
1.247049978,4.328852784
1.247999978,4.327423656
1.248949978,4.32598854
1.249899978,4.324547445
1.250849978,4.323100376
1.251799978,4.32164734
1.252749978,4.320188344
1.253699978,4.318723395
1.254649978,4.3172525
1.255599978,4.315775666
1.256549978,4.314292899
1.257499978,4.312804207
1.258449978,4.311309598
1.259399978,4.309809078
1.260349978,4.308302655
1.261299978,4.306790337
1.262249978,4.305272131
1.263199978,4.303748045
1.264149978,4.302218086
1.265099978,4.300682263
1.266049978,4.299140582
1.266999978,4.297593054
1.267949978,4.296039684
1.268899978,4.294480482
1.269849978,4.292915455
1.270799978,4.291344612
1.271749978,4.289767962
1.272699978,4.288185512
1.273649978,4.286597272
1.274599978,4.285003249
1.275549978,4.283403453
1.276499978,4.281797891
1.277449978,4.280186574
1.278399978,4.27856951
1.279349978,4.276946707
1.280299978,4.275318176
1.281249978,4.273683924
1.282199978,4.272043961
1.283149978,4.270398296
1.284099978,4.268746939
1.285049978,4.267089899
1.285999978,4.265427185
1.286949978,4.263758807
1.287899978,4.262084774
1.288849978,4.260405097
1.289799978,4.258719784
1.290749978,4.257028845
1.291699978,4.255332291
1.292649978,4.25363013
1.293599977,4.251922374
1.294549977,4.250209032
1.295499977,4.248490115
1.296449977,4.246765631
1.297399977,4.245035592
1.298349977,4.243300008
1.299299977,4.241558889
1.300249977,4.239812245
1.301199977,4.238060087
1.302149977,4.236302426
1.303099977,4.234539272
1.304049977,4.232770635
1.304999977,4.230996527
1.305949977,4.229216957
1.306899977,4.227431937
1.307849977,4.225641478
1.308799977,4.223845591
1.309749977,4.222044286
1.310699977,4.220237574
1.311649977,4.218425467
1.312599977,4.216607976
1.313549977,4.214785112
1.314499977,4.212956885
1.315449977,4.211123308
1.316399977,4.209284392
1.317349977,4.207440148
1.318299977,4.205590587
1.319249977,4.203735722
1.320199977,4.201875563
1.321149977,4.200010122
1.322099977,4.198139411
1.323049977,4.196263441
1.323999977,4.194382224
1.324949977,4.192495773
1.325899977,4.190604098
1.326849977,4.188707212
1.327799977,4.186805127
1.328749977,4.184897854
1.329699977,4.182985405
1.330649977,4.181067794
1.331599977,4.179145031
1.332549977,4.177217129
1.333499977,4.1752841
1.334449977,4.173345957
1.335399977,4.171402711
1.336349977,4.169454375
1.337299977,4.167500961
1.338249977,4.165542483
1.339199977,4.163578951
1.340149977,4.161610379
1.341099977,4.159636779
1.342049977,4.157658164
1.342999977,4.155674547
1.343949977,4.153685939
1.344899977,4.151692355
1.345849977,4.149693805
1.346799977,4.147690304
1.347749977,4.145681865
1.348699977,4.143668498
1.349649977,4.141650219
1.350599977,4.13962704
1.351549977,4.137598973
1.352499977,4.135566031
1.353449977,4.133528229
1.354399977,4.131485578
1.355349977,4.129438092
1.356299977,4.127385784
1.357249977,4.125328667
1.358199977,4.123266754
1.359149977,4.121200059
1.360099977,4.119128595
1.361049977,4.117052374
1.361999977,4.114971411
1.362949977,4.112885719
1.363899977,4.110795311
1.364849977,4.108700201
1.365799977,4.106600401
1.366749977,4.104495927
1.367699977,4.10238679
1.368649977,4.100273004
1.369599977,4.098154584
1.370549977,4.096031542
1.371499977,4.093903893
1.372449977,4.09177165
1.373399976,4.089634826
1.374349976,4.087493436
1.375299976,4.085347492
1.376249976,4.08319701
1.377199976,4.081042002
1.378149976,4.078882482
1.379099976,4.076718465
1.380049976,4.074549963
1.380999976,4.072376992
1.381949976,4.070199564
1.382899976,4.068017695
1.383849976,4.065831397
1.384799976,4.063640684
1.385749976,4.061445571
1.386699976,4.059246072
1.387649976,4.057042201
1.388599976,4.054833971
1.389549976,4.052621398
1.390499976,4.050404494
1.391449976,4.048183274
1.392399976,4.045957753
1.393349976,4.043727944
1.394299976,4.041493861
1.395249976,4.039255519
1.396199976,4.037012932
1.397149976,4.034766114
1.398099976,4.03251508
1.399049976,4.030259843
1.399999976,4.028000418
